Klinikname,Gesamtzufriedenheit,Erfahrungsbericht
MediClin Seepark Klinik,6,"Pro : Ich habe mich nach der ersten stressigen Woche langsam wohlgefühlt. Alle Mitarbeiter des Hauses sind sehr freundlich u. entgegenkommend bei Anfragen, vom Reinigungs- und Küchenpersonal, zur Rezeption und Verwaltung.  Wer sich in der Materie (sozialer Bereich) auskennt weiß, dass es für die Reinigung Vorgaben an Stunden gibt. Es kann nicht jeden Tag gründlich gereinigt werden. Eine Liste zeigt was wann gemacht wird und wer sich daran stört, kann z. B. die Wollmäuse selber mit einem feuchtem Tuch entsorgen.  Die vielen 1-Sterne-Bewertungen zeigen mir, dass viele Patienten die Hilfe der Therapeuten nicht annehmen. Einfach, weil sie ihre Krankheit nicht annehmen bzw. nicht wahrhaben wollen.  Das Angebot an Sportaktivitäten ist groß und hilft innere Unruhe abzubauen. Kreative Gestaltung auf freiwilliger Basis wird ebenfalls angeboten u. werden von vielen genutzt.  Ich vergebe volle Punktzahl, bin von der Klinik begeistert. Ebenfalls von der Umgebung die ich am Liebsten mit nach Hause genommen hätte.  Ein Tipp: falls es geht lieber mit dem Auto anfahren und da behalten. Man kann am Wochenende viel mehr unternehmen ( Lüneburg, ein MUSS :) )  Kontra: Es gibt viele zusätzliche Therapien von denen man nichts erfährt. , die einem helfen würden. z.B. Musik- und Tanztherapie gibt es auch als Einzeltherapie. Sind sehr effektiv, bringen einen voran. Ich habe nur davon erfahren, weil ich die Therapeutin nach einer Klangschalen Therapie gefragt habe.  Der Hinweis, sich ein Fahrrad ausleihen zu können, ist ein Witz.  Viele, auch ich, nahmen an, direkt bei der Klinik könne man sich das Fahrrad ausleihen.  Nein, das Geschäft befindet sich in Bad Bodenteich. In der Woche ist es wegen der ganzen Termine unmöglich, man hat nicht genug Zeit. Am Wochenende (Samstag ) kann man sich das Fahrrad bis 12 Uhr ausleihen. Möchte man es nur für Samstag ausleihen, ist das nicht möglich. Buchen geht nur für das ganze Wochenende."
MediClin Seepark Klinik,0,"Die Verweildauer stand schon fest, bevor ich die Einrichtung überhaupt betreten hatte. Dieser Umstand wurde mir bereits beim zweiten Einzelgespräch mitgeteilt. Ebenso, daß ich (zwingend) arbeitsfähig entlassen werde - man befände sich gerade am Aufbau näherer Geschäftsbeziehungen mit der RV Braunschweig-Hannover. Beim Abschlußgespräch bemerte ich, daß ich die Einrichtung für ein ""rein wirtschaftliches Unternehmen halte"". Antwort: ""Ja, das stimmt."" ..."
MediClin Seepark Klinik,4,"Klinik zu empfehlen für Menschen, die überarbeitet sind oder abnehmen wollen. Für Menschen, die krank sind, z.B. ""richtige"" Depression, Schmerzen, Ängste bedingt empfehlenswert Essen und einige Therapien in Stammgruppe, der man nicht entkommt, also auf gute Beziehungen achten! Medikamente nicht mitbringen, erhält man dort Muss-Therapien für Rehapatienten ohne Essstörung pro Woche: 1x  Einzel 30 Min, 1x  Arztgespräch , 2x Gruppenpsycho , 2x Tanz, 1x Musik, 3x Spaziergang um den Teich, 1x täglich 60 Min. Fitnessstudio, mehrmals ""Sport und Spiel"" in der Turnhalle, Pix Formance(Turnen vor einem großen Smartphone, das Anweisungen gibt), 1x Vortrag Wahl-Therapien: Atem, Autogenes Training, Progressive Muskelentspannung, Qi Gong, Therapiegespräche mit der Diakonin (60 Minuten), Wirbelsäulengym, Wirbelsäulengym im Wasser, Feldenkrais, offene Angst-, Depressions- oder Schmerzgruppe, Ernährungsgruppe, Stresstraining (3x pro Aufenthalt), Sozialkompetenztraining (3x pro Aufenthalt), Musik- oder Tanzeinzeltherapie, Massage, Krankengymnastik Unbedingt Empfehlenswert: Sozialkompetenzgruppe, Stressgruppe, Gespräche mit der Diakonin, Feldenkrais Achtung: Wahltherapien muss man einfordern, man erhält keinen Überblick, was es alles gibt! Ebenso eine Verlängerung des Aufenthaltes früh fordern! Abend/WE-Programm: Kreativkurse, Sport, Disco, Karaoke, Bowling, Spiele ausleihen, Billard Achtung Raucher: Haus von 23.00 Uhr bis 6.00 Uhr abgeschlossen (keine Rauchmöglichkeit!) Tipp zum Zimmer:  10 Kleiderbügel vorhanden, Wäscheständer, abschließbares Regalfach, Phoenix im TV kostenlos, Kuli, Jutetasche Mitbringen: Kopfkissen, Decke (Bettdecke wiegt gefühlte Tonnen), im Sommer Naturunterlage, da die Matratzen rundum mit Plastikfolie bezogen sind (Schwitzen ist garantiert), im Bad fehlt Ablagefläche, also Türhaken/Türorganizer mitbringen (Achtung: Saughaken halten nicht auf den Fliesen, nur an der Tür), Weithalsflasche für kostenlosse Mineralwasser am Automaten, Tasse, lösliches Kaffeepulver,"
MediClin Seepark Klinik,6,"Ich war sehr angenehm überrascht. Die Klinik ist nicht so sehr groß - ca. 250 Patienten. Das macht alles sehr übersichtlich. Das Personal - Rezeption, Reinigungspersonal, alle Therapeuten - waren immer sehr freundlich und hilfsbereit. Mir hat die sechswöchige Reha sehr gut getan. Ich wurde wieder so fit, dass ich wieder arbeiten gehen kann."
MediClin Seepark Klinik,4,"Hallo zusammen;Ich bin Mutter einer 15 jährigen Tochter.  Jetzt fass auch ich mir den Mut und schreibe euch! Meine Tochter hat 3 Monate auf Akutstation gelegen und ich muss sagen die Zeit dort hat ihr sehr geholfen. Die Schwestern und Ärzte alle samt super freundlich und hilfsbereit(man muss sich hakt drauf einlassen ) Was ich persönlich als Mutter einer Anorexiepatientin sagen möchte , macht das Elternseminar mit  Ich dachte mein Kind geht in die Klinik und nach der Klinik ist es wie vorher, dem ist nicht so!!! Die 250 Euro mögen viel vorkommen aber ich muss im Nachhinein sagen ich bin mehr als froh das ich teilgenommen hab. Auch ich bin mit ganz großer Skepsis hingefahren. Vlt hilft das hier den einen oder anderen bei der Entscheidung, ihr kommt mit anderen Betroffenen Eltern zusammen und man merkt schnell man ist nicht allein.  Wir haben auch ausserhalb des Seminares über das gesprochen was zuhause gewesen ist.  Ich wünsche allen die im Moment in Bad Bodenteich sind oder noch hin müssen alles erdenklich gute."
MediClin Seepark Klinik,6,Sehr individuell und abwechslungsreich. Es kommt kaum Langeweile auf und die Ärzte und Therapeuten sind wirklich bemüht. Freundlichkeit wird großgeschrieben.  Zimmer sind teils renovierungsbedürftig aber sauber.
MediClin Seepark Klinik,4,"Ich war 5 Wochen hier zur Behandlung einer mittelschweren Depression. Es gibt viele Berichte, in denen heftig über diese Klinik geschimpft wird, was ich so nicht teilen kann. Ja, die Strukturen könnten besser, der Essenssaal könnte größer, die Einzeltherapiesitzungen länger und die Zimmer schöner sein. Das Einzige, was mich wirklich gestört hat, war der zum Teil unangenehme Geruch im Bad.  Ansonsten fahre ich morgen nach Hause mit dem Gefühl wirklich etwas gelernt zu haben und mit einer Perspektive. Allerdings muss man sagen, dass man hier nur herkommen sollte, wenn man schon soweit ist wirklich etwas ändern zu wollen. Man wird hier nicht an die Hand genommen und betüddelt. Wenn man keine Motivation mitbringt, ist man hier definitiv nicht richtig und eine Klinik mit strafferen Strukturen wäre eher zu empfehlen. Was ich ziemlich heftig in manchen Bewertungen finde, ist die Kritik an den zum Teil osteuropäischen Mitarbeitern, die angeblich kaum deutsch verstehen, bzw. sprechen. Ja, hier arbeiten Menschen aus Osteuropa, welchen man auch zum Teil deutlich anhört, dass deutsch nicht ihre Muttersprache ist. Trotzdem fühlte ich mich immer sehr gut verstanden und hatte auch nie Probleme mein Gegenüber zu verstehen. Ganz besonders möchte ich Frau L. aus dem Sozialdienst, Frau L. Von der Ergotherapie und Herrn H. vom psychologischen Dienst danken! Sie haben einen fantastischen Job gemacht!"
MediClin Seepark Klinik,4,"Also, der Empfang war sehr nett und die Damen waren freundlich und humorvoll so wie sehr hilfsbereit! Keine Frage ich hatte ein frisch renoviertes Einzelzimmer, nur die ersten Nächte hatte ich etwas Probleme mit der sehr harten Matratze aber da wurde dann auch gleich Abhilfe geschaffen!Die Schwestern so wie die Reinigungskräfte waren super nett!Die Patienten die schon länger da waren,wahren auch alle sehr nett.Die ersten Tage wenn man mit einem großen Fragezeichen im Gesicht auf dem Flur stand, wurde einem geholfen!!! Alle Angestellten waren sehr nett und hilfsbereit bis auf eine bestimmte Person an der Rezeption! Aber alle Freundlichkeiten helfen nicht wenn der Psyo -Therapeut sich mit fremden Federn schmückt, krank ist und Ausfälle da sind oder Urlaub!Er zwar sagt das man nicht zu spät kommt darf,aber selber ständig zu spät ist. Wie soll man dann mit jemanden arbeiten wenn er ständig auf die Uhr schaut? Dann wird mit einem auch nicht geredet sondern man bekommt plötzlich eine Therapie reingedrückt,wo man sich fragt was soll das wie kommen die da drauf! Sie provozieren einen wo es nur geht und sagen anschließen, das man die Konflikte ja selber verursacht hat.Das man dann schon mal etwas Ungehalten reagiert ist ja wohl klar!Bei jedem wo es um die Existenz geht,kann ich nur raten nehmt die Gespräche zu euer Sicherheit auf,denn das gesprochen Wort ist nachher nix mehr wert!Ich habe gerade meinen Bericht bekommen! Wenn es nach den Verantwortlichen geht, wäre es wohl besser ich nehme mir einen Strick!Mir ging es nicht gut als ich dort hinkam! Aber jetzt geht es mir beschießen! Perspektivlosigkeit hoch drei, Hilfe gleich Null und einen Bericht geschrieben als wäre ich in der Ersten Klasse und bekäme mein erste Zeugniss ohne Noten! Passt auf Leute, egal wie nett die alle da sind, die wollen euch nur in die Pfanne hauen! Denn bezahlt werden Sie von der BfA usw! Auch wenn sie euch was anderes erzählen sie sind nicht neutral!!! MfG"
MediClin Seepark Klinik,6,"Ich fühlte mich in der Klinik sehr gut aufgehoben. Die Therapeuten und Ärzte sehr kompetent und einfühlsam, das gesamte Klinikpersonal war stets hilfsbereit und freundlich. Ich bin nach sechs Wochen deutlich stabiler wieder abgereist, als ich ankam. Das Essen ist sehr gut, bzw.zu gut, so dass man ständig zuviel gegessen hatte. Lediglich die Organisation am Buffet war nicht so gut, es gab ständig gedrängel, da auch nicht offensichtlich zu erkennen war, in welche Richtung es geht. Meine Skepsis gegenüber z. B.der Tanz- und Musiktherapie waren schnell verflogen...sie haben mir sogar geholfen. Manchmal sind die Therapien sehr eng getaktet, so dass man schnell sein muss, jedoch waren die Therapeuten, z.B.der physikalischen Therapie sehr nett, kompetent und konnten einem immer ein Lächeln herbei zaubern.  Besonders positiv für mich in kurzen Worten...neben den Einzel- und Gruppentherapien: Soziale Kompetenz Therapie, Erlebnistherapie (Klettern), Tanz- und Musiktherapie, Feldenkrais, Fussreflexzonen - Massage."
MediClin Seepark Klinik,4,"Ich kam im August 2018 in die Klinik nach Bad Bodenteich, nachdem ich aus einer anderen Klinik viel zu früh Entlassen wurde. Schon die Ankunft in der Klinik war sehr ""liebevoll"" Gestaltet und es wurde auf meine Befindlichkeiten Rücksicht genommen. Die Zimmer meist Zweibettzimmer sind in meinen Augen vollkommen ok. Wobei ich hier Anmerken muss, darüber Nachzudenken in wie weit man noch die Intimsphäre schützen kann z.B. durch Aufstellen einer faltbaren Raumteilung. In der Klinik gibt es Regeln und da ich sehr Regelbewusst bin halfen mir diese Auch bei meiner Genesung. Nicht jeder kommt damit klar, bzw. man muss sich auch darauf einlassen können. Sehr gut fand ich auch das jeden Tag und zu jeder Mahlzeit immer eine Diätassistentin mit dabei war. So hatte man auch da die Kontrolle, welche man bei dieser Erkrankung einfach mal braucht. Fachlich gesehen ist die Klinik einfach top. Ich kann nichts negatives Schreiben. Psychologen, Ärzte, Diätassistentinnen und auch die anderen Mitarbeiter alle immer Freundlich und haben stehts ein offenes Ohr. Nicht vergessen will ich die Pfleger auf dem Erwachsenen Akut Bereich. Denn wenn ich diese an manchen Tagen nicht gehabt hätte, dann wäre ich glaube Durchgedreht. Nach meiner fast 16 Wöchentlichen Aufenthalt in der Akuten Klinik bin ich für 8 Wochen in der Tagesklinik gewesen. Und auch da kann ich nur positives Sagen. Man lernt da auch einfach die Zeit die man frei hat zu genießen und den Fokus auf etwas anderes zu legen. Auch die therapiefreie Zeit kann man gut in der Klinik verbringen. Es gibt jeden Tag auch am Wochenende abwechslungsreiche Angebote. Von Häkeln, Stricken bis zu Ton Bearbeitung und Kreativwerkstatt. Lediglich der Umgang mit Beschwerden bzw. das darauf Reagieren ist noch Verbesserungswürdig sowie die Planung der unterschiedlichen Therapien ( es gab Tage da Stand nicht viel auf dem Plan und an anderen Tagen hat man sich bald Überschlagen an Terminen.) Ich würde die Klinik jeden Empfehlen."
MediClin Seepark Klinik,6,"Der Aufenthalt auf der Akutstation in Bad Bodenteich im Herbst 2018 hat mir sehr gut getan. Ich hatte eine tolle Therapeutin, Frau L., die mir ganz großartig geholfen hat. Gut fand ich zudem die strenge Essensbetreuung - erstmal sehr wenig Eigenverantwortung."
MediClin Seepark Klinik,6,"Ruhig und außerhalb gelegen.  Die Klinik und die Zimmer sind gepflegt und gut, aber ohne überflüssigen Schnickschnack.  Die Mahlzeiten (Buffet) sind ebenfalls gut und genauso ohne übertriebene Vielfalt.  Alle Mitarbeiter sind kompetent, sehr freundlich und hilfsbereit und alle Abläufe und Therapien sind darauf ausgelegt, dass man erst entspannen und dann zusammen mit den Anderen seine Probleme endlich loslassen kann, um neu anzufangen.  Mir hat der Aufenthalt dort sehr gut getan"
MediClin Seepark Klinik,0,"Nachdem mir anfangs die Auskunft gegeben wurde, zwischen Anmeldung (bei mir von Genehmigung der Maßnahme durch Kostenträger abhängig) und Kurantritt betrage der Zeitraum ca. 8 bis 10 Wochen, wurden dann doch fast 9 Monate. Pointe dabei: Nach schriftlicher Anfrage im Anfang November 2018 beim kaufmännischen Leiter, ob sich weiters warten noch lohnen würde, hatte ich binnen 4-5 Tagen meinen Antrittstermin. Im Rahmen der 6-wöchigen Kur zeigte sich, wo in diesem Hause ""die Säge klemmt"". Mangelhaftes Controlling der Führung, mangelhafte Kommunikation zwischen den einzelnen Organisationsbereichen. Will man was erfahren oder erreichen, so muss man mit Nachdruck selbst in die Spur.Umso schwieriger ist dabei das Verständnis der miserabel deutsch sprechenden Ärzte, die nicht nur bei mir oftmals den Eindruck hinterliessen, man habe gegen die Wand geredet. Oft kamen mir auch Zweifel an deren Fachkompetenz, habe ich doch in meinem Zivildienst im Rettungswesen andere Kaliber von Medizinern kennengelernt. Gäbe es da nicht einzelne redlich bemühte und wirklich gute Mitarbeiter und Mitarbeiterinnen, denen es vom restlichen Team offensichtlich auch nicht leicht gemacht wird, wäre ich wohl vorzeitig abgereist. Insgesamt scheint diese Klinik eher dem Wohl der Inhaber/Investoren, als den Patienten zu dienen. So habe ich als Privatpatient, der die Kosten der Unterbringung hier pro Tag kennt, kein Verständnis für stinkende Abflüsse im Bad, Bettwäschewechsel nur alle 3 Wochen, zum Teil altes Mobiler auf dem Zimmer, welches einen dreckigen Eindruck hinterläßt. Übrigens habe ich für deutlich weniger Geld proNacht/Tag in Hotels deutlich sauberer und komfortabler gewohnt.  Unverständlich ist mir auch, warum ich anfangs verordnete Therapiemaßnahmen nach etwa 3 Wochen nicht mehr auf meinen Wochenplänen finde. Personalmangel, was dazu andere Patienten als Antwort in ähnlichen Situationen zu hören bekamen, halte ich für inakzeptabel."
MediClin Seepark Klinik,6,Super Klinik mit super Therapeuten. Klasse Frühstück und Mittagessen. Zimmer etwas veraltet aber werden aktuell renoviert. WLAN gibt es nur im Eingangsbereich. Badezimmer sehr veraltet. Mir wurde dort sehr geholfen
MediClin Seepark Klinik,6,"Ich bin von August bis Dezember 2018 auf der Akut station der Seepark Klinik gewesen und kann die Klinik mit gutem Gewissen nur empfehlen.  Die Aufnahme ist innerhalb von 5 Tagen möglich gewesen und ich musste nur die Krankenhauseinweisung mitbringen (Keine lange Wartezeiten und Kämpfe mit der Krankenkasse)  Das Ernährungskonzept hat mir gut gefallen, da man eigene Vorlieben und Wünsche äußern konnte, diese auch so gut es geht berücksichtigt wurden. Zunächst gibt man alle Verantwortung für die Portierung der Mahlzeiten ab und bekommt dann Schritt für Schritt die Selbständigkeit zurück. Das hat mich erstmal ziemlich entlastet und ich konnte mich mit den Dingen auseinander setzen um die es tatsächlich geht. Die Kunst und Körper Therapie war ok, am meisten habe ich aber von der Einzel und Gruppentherapie profitiert. Einen großen Anteil daran hat sicherlich meine Psychotherapeutin aber auch der Zusammenhalt und die Motivation der Mitpatienten. Frau L. ganz eigene Art  (ehrlich, hart aber auch fair, engagiert) hat mich oft nerven gekostet,aber mittlerweile we is ich das ich das gebraucht habe um gesund zu werden.  Was ich noch  besonders hervorheben möchte ist das es in der Klinik ein super großes Angebot an Aktivitäten außerhalb der Therapie gibt. Jeden Tag  (am Wochenende oft 2×tgl)wird Töpfern,stricken, Seidenmalerei usw angeboten. Dazu kommen noch Sportangebote und jeden Samstag wird eine Bahnfahrt nach Hamburg, Hannover, Lüneburg oder Celle angeboten.  In den Sommermonaten gibt es ein Grillfest und Disco. Das kannte ich aus keiner anderen Klinik und hat mir gut getan um auch depressive Phasen zu überstehen.  Wenn man gewillt ist an sich zu arbeiten und die Hilfe die dort angeboten wird annimmt dann ist diese Klinik sicher eine gute Möglichkeit."
MediClin Seepark Klinik,6,"Ich war auf der Akutstation und rundum zufrieden dort. Das Konzept ist durchdacht und hilfreich, die Therapeuten, Schwestern, Diätis und Ärzte alle sehr freundlich und professionell. Ausnahmen gibt es immer. Da jedoch das Positive eindeutig überwiegt, habe ich kein Problem damit, wenn man mal mit einer der Schwestern weniger klarkommt.  Fand es sehr beeindruckend, wie bemüht das Team um jede einzelne Person ist.   Mal nebenbei: Weiß jemand, der auch dort war und KBT bei Frau K. hatte, wie das Lied vom Tanzzug heißt? Also das, wobei durch verschiedene Länder “gereist“ wird und zu jedem Land ein Tanz gehört? Ich wäre sehr dankbar :D"
MediClin Seepark Klinik,0,"Äußerlich gut ausgestattet mit theoretisch sinnvollem Konzept, in der Praxis katastrophal. Die Aufnahmekraft verhandelt lautstark vor allen Leuten auf dem Flur meine Angaben zum Datenschutz in einer herabwürdigenden Art, als ob ich selbst nicht verstünde, was ich eingetragen habe. Der Stationsarzt spricht schlecht Deutsch und versteht komplexe sprachliche Zusammenhänge nicht, außerdem zeigt er eine Haltung  zwischen Desinteresse und Verächtlichkeit und verordnet schikanöse, sinnlose Messreihen - 6 mal am Tag Blutzucker messen, medizinisch völliger Unsinn. Die Schwester will mich zwingen, 2x täglich zur Einnahme meiner harmlosen Medikamente zu erscheinen, die ich seit Jahren selbstverständlich immer selbst einnehme. Außerdem will sie mir mit einem Formular das Autofahren verbieten, juristisch eine unglaubliche Anmaßung der Klinik. Wohlgemerkt, ich nehme keine Psychopharmaka oder das Autofahren beeinträchtigende Medikamente und bin zum Abnehmen dort, nicht zu einer Augen- oder Gehirnoperation... Die Ernährungsberaterin denkt sich den größten, ernährungsphysiologisch potenziell gefährlichen Blödsinn aus und redet mit sachlich Kritik übenden Erwachsenen wie mit ungezogenen Kindern. Einzig die Chefärztin zeigt anfangs ein akzeptables Maß an Sachverstand und Respekt, versucht sich dabei aber eher als Familien-Psychologin denn als Ärztin. Sie beendet das Gespräch nach der Hälfte der angesetzten Zeit mit einer autoritären Geste , als ich die Beschwerden wegen der Fehlleistungen ihrer Mitarbeiter vortragen will. Nachdem die Ernährungsberaterin mir beim Abendessen ein Knoppers aufdrängt, obwohl ich nachmittags schon einen süßen Zwangs-Riegel essen musste, gut dokumentiert Typ-2-Diabetes-gefährdet bin und meine Hausärztin mir eine kohlenhydratarme Kost verordnet zum Abnehmen hat, fällt die Entscheidung nicht schwer, die Koffer zu packen. Kleines I-Tüpfelchen: zwischen 6:00 und 6:30 Uhr, hätte ich ohne Not 130 bis 100 Minuten (!!) vor dem Frühstück nur zum Wiegen aufstehen sollen, Punkt 6:30 werde ich mit 12 mal lautem Telefonklingeln herzitiert. Um 7 bekommt die Schwester die Schlüssel und meine freiwillige Unterschrift für die Entlassung auf eigenen Wunsch, und als ob sie noch einen weiteren Klops draufsetzen wolle, will sie mich zwingen, auf ein Gespräch mit dem Arzt zu warten, denn sie sofort ""alarmiert"". Die Seepark-Klinik ist für mich ein absolutes No-Go. Das zweifelsfrei festzustellen brauchte es weniger als einen Tag"
MediClin Seepark Klinik,6,"Ich war auf der Akutstation und kann die Klinik wirklich jedem ans Herz legen! Die Zeit dort war alles andere als einfach, aber ich habe mich so gut aufgehoben und aufgefangen gefühlt, wie in keiner anderen Klinik zuvor. Für mich war es außerdem eine besonders schöne und neue Erfahrung, dass jeder mit seinen Ecken und Kanten angenommen wird, wie er ist. Die Therapien laufen zwar nach einem festen Konzept, sprich Einzel-, Gruppen-, Kunsttherapie, Ernährungsberatung, Lehrküche und KBT, aber es wird auch geguckt, dass es für jeden individuell stimmig ist. Es gibt indikative Gruppen wie Depressionsbewältigung, soziales Kompetenztraining, autogenes Training, Einzelkunst-, Einzelmusik-, Einzelkörpertherapie,... Wenn man das notwendige Gewicht dafür hat, gibt es auch Sportangebote, wie Yoga, Fitness oder Schwimmen. Desweiteren gibt es Einkaufs- und Restauranttraining, für Minderjährige Reittherapie und sogar Klettern und (soweit ich weiß 2 mal im Jahr) ein Fotoprojekt. Was für mich besonders hilfreich war, war das individuelle Vorgehen. Niemand wird in ein Konzept “gepresst“. So wurde z.B. meine Einzeltherapie auf mehrere kürzere Termine in der Woche aufgeteilt, weil ich damit einfach besser klarkam. Auch der Ernährungsplan wird individuell gestaltet, ohne dabei essgestörte Wünsche durchgehen zu lassen.  Das Essenskonzept ist sehr streng, aber fair. Auch wenn es mir manchmal nicht so erschien, kann ich im Nachhinein sagen, dass das an der Essstörung lag. Ohne die Strenge wäre ich nie soweit gekommen, Eigenmotivation zu entwickeln. Für mich war das wie ein „Anschubser“, der mir erstmal den Weg vorgab, um ihn dann irgendwann selbst gehen zu können. In Kliniken mit mehr Freiheiten, die eigentlich darauf zielen dadurch die Eigenmotivation zu fördern, konnte ich diese nie entwickeln und bin auf meinem alten Weg geblieben. Das strengere Konzept in der Seepark Klinik hat mich dort endlich rausgeholt.  Ich bin der Klinik und meiner Therapeutin dort unendlich dankbar!"
MediClin Seepark Klinik,6,"Guten Tag, vor meiner Abreise zuhause war ich ein wenig nervös weil ich nicht wusste was mich erwartet und sofort als ich das Gebäude nach meiner Ankunft betrat war ich positiv überrascht! Sehr freundliches Personal an der Rezeption auch die Dame die mir das Zimmer zeigte war super freundlich! Ich habe mich hier rundum Wohlgefühlt angefangen von den ganzen Therapeuten über das reinigungspersonal bis hin zum Service Personal waren alle so freundlich und hilfsbereit! Es gab jeden Tag etwas anderes zu essen es hat sich nie wiederholt und es war auch für jeden was dabei (ich war 5 Wochen hier) und das was es gab hat immer so lecker geschmeckt! In anderen Bewertungen hatte ich gelesen das es in der Dusche ab und an mal nicht so gut riecht das war bei mir auch so aber es hat mich nicht gestört denn wenn man einmal täglich duschen gegangen ist war der Geruch auch weg. Die ganzen Angebote (über Therapie bis hin zum Sport) waren super und genau auf mich abgestimmt. Am tollsten fand ich es als wir in die Kletterhalle gefahren sind! Gut fand ich auch die kreativen Angebote die es gab wo man viele neue Sachen erlernen konnte (vom töpfern über Serviertentechnick bis hin zum Stricken und häkeln). Ich fühlte mich so wohl das ich am liebsten gar nicht abreisen wollte. Diese Klinik würde ich jedem sofort empfehlen."
MediClin Seepark Klinik,4,Eine Oberärztin meint sie kann tun was sie möchte. Sie verordnet Therapien obwohl man aus anderem Grund in der Klinik ist.
MediClin Seepark Klinik,6,"Ich war 5 Monate lang wegen Anorexie auf der Akut -Station der MediClin Seepark Klinik in Bad Bodenteich und ich kann die Klinik wirklich weiterempfehlen. Sie ist spezialisiert auf Essstörungen und die einzige mir bekannte Klinik, bei der man eine so kurze Wartezeit von wenigen Tagen oder Wochen hat. Während der gesamten Zeit habe ich mich gut aufgehoben gefühlt und am Ende bin ich mit einem guten Gefühl entlassen worden, da sich in der Klinik bereits um die Nachsorge gekümmert wird. Wenn man sich am Anfang auf das relativ strenge Klinikkonzept einlässt, kann man dort wirklich viel erreichen und einen großen Schritt in Richtung Genesung machen. Ich hatte eine sehr gute und direkte Therapeutin, durch die man motiviert war, sein Verhalten zu verändern. Dementsprechend waren die Gruppen-und Einzeltherapien sehr intensiv und haben mir viel gebracht. Darüber hinaus hatte ich Kunst- und Körpertherapie und eine Selbsthilfegruppe. Das Pflegepersonal und die Ärzte waren immer freundlich und bemüht und auch die Ernährungsberater, mit denen man unter Anderem einmal die Woche Lehrküche hatte, sind vertrauenswürdig. Das Essen in der Klinik ist abwechslungsreich und frisch, es gibt ein großes Buffet, wo auch Vegetarier fündig werden. Außerdem ist es wirklich bemerkenswert, wie viel Freizeit- und Kreativangebote die Klinik bereitstellt, wie z.B. Töpfern, Brandmalen, Mitmachtänze, Seidenmalen, Motivstempeln, … Deshalb war es nicht schwer, die freie Zeit mit schönen Aktivitäten, auch mit den anderen Patienten zu füllen. Als Verbesserung würde ich mir mehr Sitzgelegenheiten auch für Nichtraucher im Außenbereich der Klinik wünschen."
MediClin Seepark Klinik,4,"Sehr zufrieden mit der Betreuung und Behandlung. Tolle Therapeuten Tanztherapie, Musiktherapie, Entspannungs-und Gesprächstherapie, Angsttherapie, Trauerbewältigung und ganz viel Sport."
MediClin Seepark Klinik,6,"Ich kam mit der Diagnose Binge-Eating Ende September 2018 in die Seepark Klinik auf die Akutstation. Die Organisation vorher war einwandfrei, ich konnte innerhalb einer Woche anreisen.  Die Klinik ist sehr groß und ich hatte in den ersten Tagen Schwierigkeiten die Räume zu finden, dies legte sich dann nach einer Woche. Die behandelnden Therapeuten, Ärzte, Schwestern, etc. waren alle sehr freundlich und hilfsbereit, sodass ich mich sehr wohlgefühlt habe.  Auf der Akut gibt es Doppelzimmer, die für herrschende Verhältnisse völlig ausreichend eingerichtet sind - man ist schließlich nicht im Urlaub und soll die Zeit sinnvoll nutzen. Die Lage der Klinik ist super. Man hat einen See direkt vor der Tür und kann eine schöne Runde darum drehen und hat es ebenso nicht weit bis zum Dorf, wenn man ohne Auto angereist ist. In meinen acht Wochen Aufenthalt waren die Psycho Einzel- bzw. Gruppentherapien ein großer Lichtblick(ein großes Lob an meine Therapeutin Fr. F und meinen Gruppentherapeut Hr. M - bitte genau so weitermachen), da ich hier sehr viel neues über mich gelernt habe und Zuhause nun an mir weiterarbeiten kann. Außerdem gibt es ein großes Therapieangebot - mein persönliches Highlight war definitiv die Musiktherapie bei Hr. L(Danke für die wunderbaren Gespräche in der Einzeltherapie, es war jedes Mal etwas ganz Besonderes), bei der ich mich selbst immer wieder von Neuem kennen lernen durfte.  Meinen Dank gilt auch den ""Diätis"", die mit mir jede Woche wieder über meinen Essensplan gesprochen und mich unterstützt haben, wenn ich Probleme oder Essdruck hatte. Ich weiß, wie ich es hier Zuhause gut umsetzen kann mit meiner Essstörung umzugehen und in Notfällen richtig zu reagieren.  Ich kann die Seeparkklinik jedem ans Herz legen, der Aufenthalt war eines der besten Zeiten in meinem Leben."
